ID,Class,Path,Band
1.3685.1451,EC,1.3685.1451.dat,1.0
1.3686.7,Cep_0,1.3686.7.dat,1.0
1.3686.97,Cep_1,1.3686.97.dat,1.0
1.3686.1997,EC,1.3686.1997.dat,1.0
1.3687.23,LPV,1.3687.23.dat,1.0
1.3687.51,EC,1.3687.51.dat,1.0
1.3687.54,EC,1.3687.54.dat,1.0
1.3687.193,EC,1.3687.193.dat,1.0
1.3687.703,EC,1.3687.703.dat,1.0
1.3687.887,EC,1.3687.887.dat,1.0
1.3687.1055,RRc,1.3687.1055.dat,1.0
1.3687.1638,RRab,1.3687.1638.dat,1.0
1.3687.1941,RRab,1.3687.1941.dat,1.0
1.3688.997,LPV,1.3688.997.dat,1.0
1.3688.1093,EC,1.3688.1093.dat,1.0
1.3688.2250,RRab,1.3688.2250.dat,1.0
1.3689.21,Cep_0,1.3689.21.dat,1.0
1.3689.30,LPV,1.3689.30.dat,1.0
1.3689.1431,EC,1.3689.1431.dat,1.0
1.3689.1497,RRab,1.3689.1497.dat,1.0
1.3689.1552,EC,1.3689.1552.dat,1.0
1.3689.1889,RRab,1.3689.1889.dat,1.0
1.3689.3628,EC,1.3689.3628.dat,1.0
1.3690.27,LPV,1.3690.27.dat,1.0
1.3690.31,EC,1.3690.31.dat,1.0
1.3690.1320,RRab,1.3690.1320.dat,1.0
1.3690.1552,RRab,1.3690.1552.dat,1.0
1.3691.19,Cep_1,1.3691.19.dat,1.0
1.3691.27,LPV,1.3691.27.dat,1.0
1.3691.28,LPV,1.3691.28.dat,1.0
1.3691.32,Cep_1,1.3691.32.dat,1.0
1.3691.37,Cep_0,1.3691.37.dat,1.0
1.3691.210,EC,1.3691.210.dat,1.0
1.3691.955,EC,1.3691.955.dat,1.0
1.3691.1377,RRc,1.3691.1377.dat,1.0
1.3691.1657,RRab,1.3691.1657.dat,1.0
1.3692.16,Cep_0,1.3692.16.dat,1.0
1.3692.17,Cep_0,1.3692.17.dat,1.0
1.3692.55,EC,1.3692.55.dat,1.0
1.3692.66,EC,1.3692.66.dat,1.0
1.3692.246,EC,1.3692.246.dat,1.0
1.3692.337,EC,1.3692.337.dat,1.0
1.3692.906,RRab,1.3692.906.dat,1.0
1.3692.1242,RRab,1.3692.1242.dat,1.0
1.3693.11,Cep_1,1.3693.11.dat,1.0
1.3693.21,LPV,1.3693.21.dat,1.0
1.3693.515,RRab,1.3693.515.dat,1.0
1.3693.662,EC,1.3693.662.dat,1.0
1.3803.83,EC,1.3803.83.dat,1.0
1.3804.26,Cep_0,1.3804.26.dat,1.0
1.3804.164,EC,1.3804.164.dat,1.0
1.3804.398,EC,1.3804.398.dat,1.0
1.3804.1237,EC,1.3804.1237.dat,1.0
1.3804.1442,RRab,1.3804.1442.dat,1.0
1.3804.1766,RRab,1.3804.1766.dat,1.0
1.3804.2336,EC,1.3804.2336.dat,1.0
1.3805.47,Cep_0,1.3805.47.dat,1.0
1.3805.57,LPV,1.3805.57.dat,1.0
1.3805.130,EC,1.3805.130.dat,1.0
1.3805.176,EC,1.3805.176.dat,1.0
1.3805.213,EC,1.3805.213.dat,1.0
1.3805.1215,RRc,1.3805.1215.dat,1.0
1.3805.1731,RRab,1.3805.1731.dat,1.0
1.3805.1740,RRab,1.3805.1740.dat,1.0
1.3805.1927,RRab,1.3805.1927.dat,1.0
1.3806.147,EC,1.3806.147.dat,1.0
1.3806.699,EC,1.3806.699.dat,1.0
1.3806.1601,RRab,1.3806.1601.dat,1.0
1.3807.24,Cep_1,1.3807.24.dat,1.0
1.3807.48,EC,1.3807.48.dat,1.0
1.3807.658,EC,1.3807.658.dat,1.0
1.3807.679,UNK,1.3807.679.dat,1.0
1.3807.1167,EC,1.3807.1167.dat,1.0
1.3807.1571,RRab,1.3807.1571.dat,1.0
1.3807.1678,RRab,1.3807.1678.dat,1.0
1.3807.2069,RRab,1.3807.2069.dat,1.0
1.3808.12,Cep_0,1.3808.12.dat,1.0
1.3808.21,LPV,1.3808.21.dat,1.0
1.3808.28,LPV,1.3808.28.dat,1.0
1.3808.91,EC,1.3808.91.dat,1.0
1.3808.112,EC,1.3808.112.dat,1.0
1.3808.413,EC,1.3808.413.dat,1.0
1.3808.1586,RRab,1.3808.1586.dat,1.0
1.3808.1671,RRab,1.3808.1671.dat,1.0
1.3809.100,EC,1.3809.100.dat,1.0
1.3809.260,RRab,1.3809.260.dat,1.0
1.3809.937,Cep_0,1.3809.937.dat,1.0
1.3809.938,Cep_1,1.3809.938.dat,1.0
1.3809.976,LPV,1.3809.976.dat,1.0
1.3809.1058,EC,1.3809.1058.dat,1.0
1.3809.2072,EC,1.3809.2072.dat,1.0
1.3809.2212,RRc,1.3809.2212.dat,1.0
1.3810.11,Cep_0,1.3810.11.dat,1.0
1.3810.19,EC,1.3810.19.dat,1.0
1.3810.30,EC,1.3810.30.dat,1.0
1.3810.40,EC,1.3810.40.dat,1.0
1.3810.153,EC,1.3810.153.dat,1.0
1.3810.166,EC,1.3810.166.dat,1.0
1.3810.198,EC,1.3810.198.dat,1.0
1.3810.762,EC,1.3810.762.dat,1.0
1.3810.1775,RRab,1.3810.1775.dat,1.0
1.3811.8,EC,1.3811.8.dat,1.0
1.3811.64,EC,1.3811.64.dat,1.0
1.3811.115,EC,1.3811.115.dat,1.0
1.3811.138,EC,1.3811.138.dat,1.0
1.3811.175,EC,1.3811.175.dat,1.0
1.3811.197,EC,1.3811.197.dat,1.0
1.3811.414,EC,1.3811.414.dat,1.0
1.3811.470,UNK,1.3811.470.dat,1.0
1.3811.696,EC,1.3811.696.dat,1.0
1.3811.897,EC,1.3811.897.dat,1.0
1.3811.907,EC,1.3811.907.dat,1.0
1.3811.1557,RRab,1.3811.1557.dat,1.0
1.3811.1613,RRc,1.3811.1613.dat,1.0
1.3812.10,EC,1.3812.10.dat,1.0
1.3812.15,Cep_0,1.3812.15.dat,1.0
1.3812.18,Cep_0,1.3812.18.dat,1.0
1.3812.46,EC,1.3812.46.dat,1.0
1.3812.61,EC,1.3812.61.dat,1.0
1.3812.226,EC,1.3812.226.dat,1.0
1.3812.623,EC,1.3812.623.dat,1.0
1.3812.898,RRab,1.3812.898.dat,1.0
1.3812.1091,RRab,1.3812.1091.dat,1.0
1.3812.1095,RRab,1.3812.1095.dat,1.0
1.3812.1108,RRab,1.3812.1108.dat,1.0
1.3813.7,Cep_1,1.3813.7.dat,1.0
1.3813.423,EC,1.3813.423.dat,1.0
1.3813.922,RRab,1.3813.922.dat,1.0
1.3813.1066,RRab,1.3813.1066.dat,1.0
1.3813.1415,RRab,1.3813.1415.dat,1.0
1.3813.1549,RRab,1.3813.1549.dat,1.0
1.3814.86,EC,1.3814.86.dat,1.0
1.3814.549,RRab,1.3814.549.dat,1.0
1.3924.64,EC,1.3924.64.dat,1.0
1.3924.190,RRab,1.3924.190.dat,1.0
1.3924.228,RRab,1.3924.228.dat,1.0
1.3925.70,LPV,1.3925.70.dat,1.0
1.3925.120,EC,1.3925.120.dat,1.0
1.3925.509,EC,1.3925.509.dat,1.0
1.3925.1311,RRab,1.3925.1311.dat,1.0
1.3925.1331,RRab,1.3925.1331.dat,1.0
1.3925.1574,RRc,1.3925.1574.dat,1.0
1.3925.1629,RRc,1.3925.1629.dat,1.0
1.3925.1712,RRab,1.3925.1712.dat,1.0
1.3925.1752,RRab,1.3925.1752.dat,1.0
1.3925.1777,UNK,1.3925.1777.dat,1.0
1.3925.1806,RRab,1.3925.1806.dat,1.0
1.3925.1862,RRab,1.3925.1862.dat,1.0
1.3925.1899,RRc,1.3925.1899.dat,1.0
1.3925.2068,RRab,1.3925.2068.dat,1.0
1.3926.29,EC,1.3926.29.dat,1.0
1.3926.118,EC,1.3926.118.dat,1.0
1.3926.665,EC,1.3926.665.dat,1.0
1.3926.786,UNK,1.3926.786.dat,1.0
1.3926.1676,RRab,1.3926.1676.dat,1.0
1.3926.1784,RRab,1.3926.1784.dat,1.0
1.3926.1941,RRc,1.3926.1941.dat,1.0
1.3926.1971,RRc,1.3926.1971.dat,1.0
1.3926.1973,RRc,1.3926.1973.dat,1.0
1.3927.29,Cep_0,1.3927.29.dat,1.0
1.3927.46,Cep_0,1.3927.46.dat,1.0
1.3927.58,Cep_0,1.3927.58.dat,1.0
1.3927.1520,EC,1.3927.1520.dat,1.0
1.3927.1785,RRab,1.3927.1785.dat,1.0
1.3928.18,LPV,1.3928.18.dat,1.0
1.3928.21,LPV,1.3928.21.dat,1.0
1.3928.26,Cep_1,1.3928.26.dat,1.0
1.3928.470,EC,1.3928.470.dat,1.0
1.3928.1272,RRab,1.3928.1272.dat,1.0
1.3928.1699,RRab,1.3928.1699.dat,1.0
1.3928.1806,EC,1.3928.1806.dat,1.0
1.3928.1866,RRab,1.3928.1866.dat,1.0
1.3928.2098,RRab,1.3928.2098.dat,1.0
1.3928.2944,EC,1.3928.2944.dat,1.0
1.3928.3328,EC,1.3928.3328.dat,1.0
1.3929.15,LPV,1.3929.15.dat,1.0
1.3929.107,EC,1.3929.107.dat,1.0
1.3929.247,EC,1.3929.247.dat,1.0
1.3929.255,EC,1.3929.255.dat,1.0
1.3929.499,EC,1.3929.499.dat,1.0
1.3929.515,EC,1.3929.515.dat,1.0
1.3929.1312,RRab,1.3929.1312.dat,1.0
1.3929.1329,RRab,1.3929.1329.dat,1.0
1.3929.1559,RRab,1.3929.1559.dat,1.0
1.3930.28,EC,1.3930.28.dat,1.0
1.3930.962,EC,1.3930.962.dat,1.0
1.3930.1050,EC,1.3930.1050.dat,1.0
1.3930.1143,EC,1.3930.1143.dat,1.0
1.3930.1531,EC,1.3930.1531.dat,1.0
1.3930.1833,EC,1.3930.1833.dat,1.0
1.3930.1846,EC,1.3930.1846.dat,1.0
1.3930.2366,RRc,1.3930.2366.dat,1.0
1.3931.59,LPV,1.3931.59.dat,1.0
1.3931.98,EC,1.3931.98.dat,1.0
1.3931.101,EC,1.3931.101.dat,1.0
1.3931.106,LPV,1.3931.106.dat,1.0
1.3931.127,EC,1.3931.127.dat,1.0
1.3931.146,EC,1.3931.146.dat,1.0
1.3931.195,EC,1.3931.195.dat,1.0
1.3931.1105,RRab,1.3931.1105.dat,1.0
1.3931.1120,EC,1.3931.1120.dat,1.0
1.3931.1861,RRc,1.3931.1861.dat,1.0
1.3931.4183,EC,1.3931.4183.dat,1.0
1.3932.110,EC,1.3932.110.dat,1.0
1.3932.434,EC,1.3932.434.dat,1.0
1.3932.557,EC,1.3932.557.dat,1.0
1.3932.1138,RRab,1.3932.1138.dat,1.0
1.3932.1823,RRab,1.3932.1823.dat,1.0
1.3932.2096,RRab,1.3932.2096.dat,1.0
1.3932.2698,EC,1.3932.2698.dat,1.0
1.3933.36,LPV,1.3933.36.dat,1.0
1.3933.64,Cep_0,1.3933.64.dat,1.0
1.3933.201,EC,1.3933.201.dat,1.0
1.3933.460,EC,1.3933.460.dat,1.0
1.3933.874,RRab,1.3933.874.dat,1.0
1.3934.136,EC,1.3934.136.dat,1.0
1.3934.140,EC,1.3934.140.dat,1.0
1.3934.245,EC,1.3934.245.dat,1.0
1.3934.344,EC,1.3934.344.dat,1.0
1.3934.683,EC,1.3934.683.dat,1.0
1.3934.827,RRab,1.3934.827.dat,1.0
1.3934.1589,RRab,1.3934.1589.dat,1.0
1.3935.552,RRab,1.3935.552.dat,1.0
1.3935.828,RRab,1.3935.828.dat,1.0
1.4045.424,EC,1.4045.424.dat,1.0
1.4046.34,EC,1.4046.34.dat,1.0
1.4046.94,EC,1.4046.94.dat,1.0
1.4046.270,EC,1.4046.270.dat,1.0
1.4046.272,EC,1.4046.272.dat,1.0
1.4046.292,EC,1.4046.292.dat,1.0
1.4046.305,UNK,1.4046.305.dat,1.0
1.4046.425,RRab,1.4046.425.dat,1.0
1.4046.427,RRab,1.4046.427.dat,1.0
1.4046.537,RRab,1.4046.537.dat,1.0
1.4046.564,EC,1.4046.564.dat,1.0
1.4046.620,EC,1.4046.620.dat,1.0
1.4046.715,EC,1.4046.715.dat,1.0
1.4046.720,RRab,1.4046.720.dat,1.0
1.4046.765,RRab,1.4046.765.dat,1.0
1.4046.783,RRab,1.4046.783.dat,1.0
1.4046.809,RRab,1.4046.809.dat,1.0
1.4046.844,EC,1.4046.844.dat,1.0
1.4046.858,RRab,1.4046.858.dat,1.0
1.4046.937,RRab,1.4046.937.dat,1.0
1.4046.1610,LPV,1.4046.1610.dat,1.0
1.4046.1615,Cep_0,1.4046.1615.dat,1.0
1.4046.2273,RRab,1.4046.2273.dat,1.0
1.4046.2319,RRab,1.4046.2319.dat,1.0
1.4046.2509,UNK,1.4046.2509.dat,1.0
1.4047.1441,Cep_0,1.4047.1441.dat,1.0
1.4047.1723,EC,1.4047.1723.dat,1.0
1.4047.2063,EC,1.4047.2063.dat,1.0
1.4047.2198,RRc,1.4047.2198.dat,1.0
1.4048.6,Cep_0,1.4048.6.dat,1.0
1.4048.28,Cep_1,1.4048.28.dat,1.0
1.4048.383,RRc,1.4048.383.dat,1.0
1.4048.462,EC,1.4048.462.dat,1.0
1.4048.1635,EC,1.4048.1635.dat,1.0
1.4048.1674,EC,1.4048.1674.dat,1.0
1.4048.1775,EC,1.4048.1775.dat,1.0
1.4049.13,EC,1.4049.13.dat,1.0
1.4049.474,RRc,1.4049.474.dat,1.0
1.4049.488,RRab,1.4049.488.dat,1.0
1.4049.1534,Cep_1,1.4049.1534.dat,1.0
1.4049.1784,EC,1.4049.1784.dat,1.0
1.4049.1986,EC,1.4049.1986.dat,1.0
1.4049.2173,RRab,1.4049.2173.dat,1.0
1.4049.2342,EC,1.4049.2342.dat,1.0
1.4050.107,EC,1.4050.107.dat,1.0
1.4050.272,RRab,1.4050.272.dat,1.0
1.4050.1668,EC,1.4050.1668.dat,1.0
1.4050.1680,EC,1.4050.1680.dat,1.0
1.4050.1704,EC,1.4050.1704.dat,1.0
1.4050.2180,RRab,1.4050.2180.dat,1.0
1.4050.2440,RRab,1.4050.2440.dat,1.0
1.4051.4,LPV,1.4051.4.dat,1.0
1.4051.113,EC,1.4051.113.dat,1.0
1.4051.445,EC,1.4051.445.dat,1.0
1.4051.479,EC,1.4051.479.dat,1.0
1.4051.1238,RRc,1.4051.1238.dat,1.0
1.4051.2287,LPV,1.4051.2287.dat,1.0
1.4051.2318,EC,1.4051.2318.dat,1.0
1.4051.2827,EC,1.4051.2827.dat,1.0
1.4052.55,Cep_0,1.4052.55.dat,1.0
1.4052.108,EC,1.4052.108.dat,1.0
1.4052.269,EC,1.4052.269.dat,1.0
1.4052.379,EC,1.4052.379.dat,1.0
1.4052.660,RRab,1.4052.660.dat,1.0
1.4052.728,EC,1.4052.728.dat,1.0
1.4052.883,RRc,1.4052.883.dat,1.0
1.4052.2961,UNK,1.4052.2961.dat,1.0
1.4052.3030,RRab,1.4052.3030.dat,1.0
1.4052.3122,RRab,1.4052.3122.dat,1.0
1.4052.3270,EC,1.4052.3270.dat,1.0
1.4053.53,Cep_1,1.4053.53.dat,1.0
1.4053.146,EC,1.4053.146.dat,1.0
1.4053.169,EC,1.4053.169.dat,1.0
1.4053.197,EC,1.4053.197.dat,1.0
1.4053.208,EC,1.4053.208.dat,1.0
1.4053.809,EC,1.4053.809.dat,1.0
1.4053.2450,EC,1.4053.2450.dat,1.0
1.4054.15,Cep_0,1.4054.15.dat,1.0
1.4054.737,RRc,1.4054.737.dat,1.0
1.4054.2567,RRab,1.4054.2567.dat,1.0
1.4054.2780,RRab,1.4054.2780.dat,1.0
1.4055.9,LPV,1.4055.9.dat,1.0
1.4055.98,EC,1.4055.98.dat,1.0
1.4055.505,EC,1.4055.505.dat,1.0
1.4055.702,RRab,1.4055.702.dat,1.0
1.4055.2227,Cep_0,1.4055.2227.dat,1.0
1.4055.2241,EC,1.4055.2241.dat,1.0
1.4055.2625,RRab,1.4055.2625.dat,1.0
1.4055.2745,EC,1.4055.2745.dat,1.0
1.4056.186,EC,1.4056.186.dat,1.0
1.4056.1151,Cep_0,1.4056.1151.dat,1.0
1.4166.496,RRc,1.4166.496.dat,1.0
1.4167.365,EC,1.4167.365.dat,1.0
1.4167.1066,RRab,1.4167.1066.dat,1.0
1.4167.1092,UNK,1.4167.1092.dat,1.0
1.4167.1147,RRab,1.4167.1147.dat,1.0
1.4167.1203,RRc,1.4167.1203.dat,1.0
1.4167.1280,RRab,1.4167.1280.dat,1.0
1.4167.1347,RRc,1.4167.1347.dat,1.0
1.4167.1383,RRab,1.4167.1383.dat,1.0
1.4168.95,LPV,1.4168.95.dat,1.0
1.4168.192,EC,1.4168.192.dat,1.0
1.4168.411,UNK,1.4168.411.dat,1.0
1.4168.434,EC,1.4168.434.dat,1.0
1.4168.1347,RRab,1.4168.1347.dat,1.0
1.4168.1478,RRab,1.4168.1478.dat,1.0
1.4168.1600,RRab,1.4168.1600.dat,1.0
1.4169.1295,RRc,1.4169.1295.dat,1.0
1.4169.1464,RRab,1.4169.1464.dat,1.0
1.4170.26,EC,1.4170.26.dat,1.0
1.4170.43,EC,1.4170.43.dat,1.0
1.4170.316,EC,1.4170.316.dat,1.0
1.4170.445,EC,1.4170.445.dat,1.0
1.4170.521,EC,1.4170.521.dat,1.0
1.4170.984,UNK,1.4170.984.dat,1.0
1.4170.1683,RRc,1.4170.1683.dat,1.0
1.4170.1951,RRab,1.4170.1951.dat,1.0
1.4171.12,EC,1.4171.12.dat,1.0
1.4171.24,Cep_0,1.4171.24.dat,1.0
1.4171.86,EC,1.4171.86.dat,1.0
1.4171.110,EC,1.4171.110.dat,1.0
1.4171.551,EC,1.4171.551.dat,1.0
1.4171.1181,EC,1.4171.1181.dat,1.0
1.4172.1042,RRab,1.4172.1042.dat,1.0
1.4173.89,EC,1.4173.89.dat,1.0
1.4173.761,RRc,1.4173.761.dat,1.0
1.4174.42,EC,1.4174.42.dat,1.0
1.4174.104,EC,1.4174.104.dat,1.0
1.4174.183,EC,1.4174.183.dat,1.0
1.4174.188,EC,1.4174.188.dat,1.0
1.4175.14,Cep_1,1.4175.14.dat,1.0
1.4175.23,LPV,1.4175.23.dat,1.0
1.4175.61,EC,1.4175.61.dat,1.0
1.4175.112,EC,1.4175.112.dat,1.0
1.4175.954,RRc,1.4175.954.dat,1.0
1.4175.1750,RRab,1.4175.1750.dat,1.0
1.4176.8,LPV,1.4176.8.dat,1.0
1.4176.17,EC,1.4176.17.dat,1.0
1.4176.34,Cep_1,1.4176.34.dat,1.0
1.4176.184,EC,1.4176.184.dat,1.0
1.4176.1522,RRc,1.4176.1522.dat,1.0
1.4177.5,EC,1.4177.5.dat,1.0
1.4177.15,LPV,1.4177.15.dat,1.0
1.4177.31,EC,1.4177.31.dat,1.0
1.4177.250,EC,1.4177.250.dat,1.0
1.4177.781,RRab,1.4177.781.dat,1.0
1.4287.11,LPV,1.4287.11.dat,1.0
1.4287.17,EC,1.4287.17.dat,1.0
1.4287.60,EC,1.4287.60.dat,1.0
1.4287.302,RRab,1.4287.302.dat,1.0
1.4287.526,RRab,1.4287.526.dat,1.0
1.4287.527,EC,1.4287.527.dat,1.0
1.4288.203,EC,1.4288.203.dat,1.0
1.4288.420,EC,1.4288.420.dat,1.0
1.4288.499,EC,1.4288.499.dat,1.0
1.4288.684,EC,1.4288.684.dat,1.0
1.4288.1275,RRab,1.4288.1275.dat,1.0
1.4288.1572,RRab,1.4288.1572.dat,1.0
1.4288.1751,RRab,1.4288.1751.dat,1.0
1.4288.1764,RRab,1.4288.1764.dat,1.0
1.4289.25,Cep_0,1.4289.25.dat,1.0
1.4289.1239,RRab,1.4289.1239.dat,1.0
1.4289.1526,RRc,1.4289.1526.dat,1.0
1.4289.1762,RRc,1.4289.1762.dat,1.0
1.4289.1797,RRab,1.4289.1797.dat,1.0
1.4289.1866,EC,1.4289.1866.dat,1.0
1.4290.100,EC,1.4290.100.dat,1.0
1.4290.113,EC,1.4290.113.dat,1.0
1.4290.1402,EC,1.4290.1402.dat,1.0
1.4290.1996,RRab,1.4290.1996.dat,1.0
1.4291.21,LPV,1.4291.21.dat,1.0
1.4291.35,Cep_1,1.4291.35.dat,1.0
1.4291.52,LPV,1.4291.52.dat,1.0
1.4291.162,Cep_1,1.4291.162.dat,1.0
1.4291.174,EC,1.4291.174.dat,1.0
1.4291.239,EC,1.4291.239.dat,1.0
1.4291.499,EC,1.4291.499.dat,1.0
1.4291.1650,EC,1.4291.1650.dat,1.0
1.4291.1659,RRab,1.4291.1659.dat,1.0
1.4291.2288,EC,1.4291.2288.dat,1.0
1.4292.25,LPV,1.4292.25.dat,1.0
1.4292.1741,RRab,1.4292.1741.dat,1.0
1.4292.2419,RRab,1.4292.2419.dat,1.0
1.4292.2551,RRab,1.4292.2551.dat,1.0
1.4293.9,EC,1.4293.9.dat,1.0
